1.000000000000000021e-02  70   0.000000000000000000e+00 0.000000000000000000e+00 -5.400000000000000000e+03 0.000000000000000000e+00
2.000000000000000042e-02  70   0.000000000000000000e+00 0.000000000000000000e+00 -5.400000000000000000e+03 0.000000000000000000e+00
2.999999999999999889e-02  70   0.000000000000000000e+00 0.000000000000000000e+00 -5.400000000000000000e+03 0.000000000000000000e+00
4.000000000000000083e-02  70   0.000000000000000000e+00 0.000000000000000000e+00 -5.400000000000000000e+03 0.000000000000000000e+00
5.000000000000000278e-02  70   0.000000000000000000e+00 0.000000000000000000e+00 -5.400000000000000000e+03 0.000000000000000000e+00
6.000000000000000472e-02  70   0.000000000000000000e+00 0.000000000000000000e+00 -5.400000000000000000e+03 0.000000000000000000e+00
6.999999999999999278e-02  70   0.000000000000000000e+00 0.000000000000000000e+00 -5.400000000000000000e+03 0.000000000000000000e+00
8.000000000000000167e-02  70   0.000000000000000000e+00 0.000000000000000000e+00 -5.400000000000000000e+03 0.000000000000000000e+00
8.999999999999999667e-02  70   -1.103789718062790449e-08 8.271806125530276749e-24 -5.400000000000010914e+03 5.456968210637569427e-12
9.999999999999999167e-02  70   -7.417052984237669628e-07 2.117582368135750848e-22 -5.400000000001383341e+03 1.091393642127513885e-11
1.100000000000000006e-01  70   -5.731713180699631068e-06 5.929230630780102373e-21 -5.400000000012804776e+03 9.094947017729282379e-13
1.199999999999999956e-01  70   -6.931885663006030715e-06 1.101142831430590441e-20 -5.400000000017691491e+03 5.456968210637569427e-12
1.300000000000000044e-01  70   2.336352181857862108e-06 2.117582368135750848e-21 -5.399999999982305781e+03 5.456968210637569427e-12
1.400000000000000133e-01  70   -1.954637011703180490e-06 8.470329472543003391e-22 -5.399999999913633474e+03 1.546140993013978004e-11
1.500000000000000222e-01  70   4.415545198652474734e-06 3.388131789017201356e-21 -5.399999999353841304e+03 4.547473508864641190e-12
1.600000000000000033e-01  70   -3.495224518701434135e-06 0.000000000000000000e+00 -5.399999996692919922e+03 3.637978807091712952e-12
1.700000000000000122e-01  70   3.784585576568913837e-06 5.929230630780102373e-21 -5.399999985515842127e+03 4.547473508864641190e-12
1.800000000000000211e-01  70   7.292140781143573404e-06 1.016439536705160407e-20 -5.399999946500461192e+03 9.094947017729282379e-12
